                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.5839,                0.36983,                0.83134,                0.99521,                0.99205,                0.99307,                0.91782,                0.52356,                0.32634,                0.76195,             0.00082925,             0.00082925,             0.00082925
                     37,                0.56742,                 0.3582,                0.82691,                0.99313,                 0.9932,                0.99302,                0.91912,                0.52021,                0.31685,                0.75834,             0.00081688,             0.00081688,             0.00081688
                     38,                0.55941,                0.35357,                0.82686,                0.99374,                0.99327,                 0.9937,                 0.9148,                0.48626,                0.31789,                 0.7554,              0.0008045,              0.0008045,              0.0008045
                     39,                0.56407,                0.35621,                 0.8303,                0.99495,                0.99312,                0.99455,                0.91225,                0.50109,                 0.3237,                0.75838,             0.00079213,             0.00079213,             0.00079213
                     40,                0.56591,                0.35515,                0.82668,                0.99232,                0.99115,                0.99334,                0.92086,                0.48518,                0.30859,                0.75698,             0.00077975,             0.00077975,             0.00077975
                     41,                0.56747,                0.35859,                0.82297,                 0.9916,                0.99495,                0.99368,                0.92226,                0.49738,                0.31324,                0.75336,             0.00076738,             0.00076738,             0.00076738
                     42,                0.55266,                0.34794,                0.82131,                0.99431,                0.99402,                0.99266,                0.92914,                0.49656,                0.30864,                0.75226,               0.000755,               0.000755,               0.000755
                     43,                0.55759,                0.34615,                 0.8242,                0.99379,                  0.995,                0.99298,                0.92769,                0.47761,                0.30132,                 0.7541,             0.00074263,             0.00074263,             0.00074263
                     44,                0.54508,                0.34155,                0.82351,                 0.9936,                 0.9947,                0.99417,                0.92512,                0.47336,                0.30857,                0.75318,             0.00073025,             0.00073025,             0.00073025
                     45,                0.54052,                0.34003,                0.81971,                0.99251,                0.99496,                0.99212,                0.91577,                0.50291,                0.30876,                0.75354,             0.00071788,             0.00071788,             0.00071788
