                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.56141,                 0.3538,                0.82737,                0.98818,                0.99053,                 0.9927,                0.91122,                0.53186,                0.34769,                0.76457,             0.00081688,             0.00081688,             0.00081688
                     37,                0.57065,                0.35825,                0.82857,                0.99096,                0.99219,                0.99159,                0.92299,                0.47503,                0.32422,                0.75354,              0.0008045,              0.0008045,              0.0008045
                     38,                0.57211,                0.35909,                0.82375,                0.98884,                0.99476,                0.99269,                0.92244,                0.49656,                0.32231,                 0.7593,             0.00079213,             0.00079213,             0.00079213
                     39,                0.56492,                0.35054,                0.82631,                0.99326,                0.99281,                0.99321,                0.92408,                0.48258,                0.31814,                0.75493,             0.00077975,             0.00077975,             0.00077975
                     40,                0.54493,                0.33875,                0.82025,                0.98853,                0.99367,                0.99404,                0.93666,                0.45189,                0.30475,                0.75422,             0.00076738,             0.00076738,             0.00076738
                     41,                0.55232,                0.34245,                0.82383,                0.99047,                0.99214,                0.99191,                0.91857,                0.50007,                0.31716,                0.75561,               0.000755,               0.000755,               0.000755
                     42,                 0.5475,                0.34475,                0.82155,                0.99172,                0.99345,                0.99383,                0.90982,                0.49609,                0.32414,                0.75582,             0.00074263,             0.00074263,             0.00074263
                     43,                0.53777,                0.33966,                0.82121,                0.99377,                0.99017,                0.99225,                0.91786,                0.47822,                0.29994,                0.75612,             0.00073025,             0.00073025,             0.00073025
                     44,                0.54454,                0.34225,                0.81998,                0.99216,                 0.9936,                0.99387,                0.92164,                0.47438,                0.30842,                0.75199,             0.00071788,             0.00071788,             0.00071788
                     45,                0.53468,                0.33334,                0.81948,                0.98966,                0.99665,                 0.9941,                0.92377,                 0.4634,                0.29522,                0.75432,              0.0007055,              0.0007055,              0.0007055
                     46,                0.53505,                0.33141,                0.82162,                 0.9919,                0.99646,                0.99419,                0.92087,                0.47806,                0.30413,                0.75143,             0.00069313,             0.00069313,             0.00069313
                     47,                0.53054,                0.33432,                 0.8193,                0.99328,                0.99591,                0.99457,                0.93615,                0.48287,                 0.3025,                 0.7497,             0.00068075,             0.00068075,             0.00068075
                     48,                0.54327,                0.33722,                0.82142,                0.99417,                0.99209,                0.99346,                0.93005,                0.44275,                0.28758,                0.74881,             0.00066838,             0.00066838,             0.00066838
                     49,                0.52169,                0.32567,                0.81906,                0.99303,                0.99587,                0.99435,                0.93337,                0.44945,                 0.2913,                0.75117,               0.000656,               0.000656,               0.000656
                     50,                0.52495,                0.32868,                0.81986,                0.99353,                0.99335,                 0.9939,                0.93221,                0.45579,                0.28028,                0.74768,             0.00064362,             0.00064362,             0.00064362
                     51,                0.51332,                0.32304,                0.81927,                0.99062,                0.99301,                0.99399,                0.92942,                0.45977,                0.29167,                0.75013,             0.00063125,             0.00063125,             0.00063125
                     52,                0.51653,                0.32198,                0.81992,                0.99239,                0.99507,                0.99421,                0.92863,                0.44979,                0.28796,                0.75172,             0.00061887,             0.00061887,             0.00061887
                     53,                0.52571,                 0.3302,                0.81963,                0.99187,                0.99334,                0.99319,                0.92154,                0.47907,                0.30004,                0.75636,              0.0006065,              0.0006065,              0.0006065
                     54,                0.50941,                0.31946,                0.81701,                 0.9912,                0.99586,                 0.9948,                 0.9253,                0.49811,                0.29432,                0.75346,             0.00059413,             0.00059413,             0.00059413
                     55,                 0.5003,                0.31211,                0.82101,                0.99261,                0.99249,                 0.9938,                0.93619,                0.43216,                0.28363,                0.74765,             0.00058175,             0.00058175,             0.00058175
                     56,                0.50237,                0.31111,                0.81544,                0.99081,                0.99517,                0.99303,                0.92733,                0.46818,                0.28769,                0.75167,             0.00056938,             0.00056938,             0.00056938
                     57,                 0.4939,                0.31248,                0.81172,                0.98994,                0.99523,                0.99155,                0.93911,                0.42219,                0.28752,                0.74856,               0.000557,               0.000557,               0.000557
                     58,                0.49425,                 0.3149,                0.81296,                0.99009,                0.99665,                0.99336,                0.93708,                0.42715,                0.27422,                0.74979,             0.00054463,             0.00054463,             0.00054463
                     59,                0.50378,                0.31472,                0.81567,                0.99185,                0.99531,                0.99355,                0.93719,                0.44801,                0.28956,                0.74872,             0.00053225,             0.00053225,             0.00053225
