                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.00643,                0.96947,                      1,                 1.6448,             0.00028282,             0.00028282,             0.00028282
                     64,                0.00665,                0.96641,                0.99847,                 1.6814,             0.00027575,             0.00027575,             0.00027575
                     65,                0.00472,                0.96794,                0.99847,                 1.6777,             0.00026868,             0.00026868,             0.00026868
                     66,                0.00784,                0.97099,                      1,                 1.6431,             0.00026161,             0.00026161,             0.00026161
                     67,                0.00735,                0.97557,                      1,                 1.6401,             0.00025454,             0.00025454,             0.00025454
                     68,                0.00595,                0.97405,                      1,                 1.6416,             0.00024747,             0.00024747,             0.00024747
                     69,                 0.0037,                0.97405,                      1,                 1.6409,              0.0002404,              0.0002404,              0.0002404
                     70,                0.00375,                0.97405,                      1,                 1.6736,             0.00023334,             0.00023334,             0.00023334
                     71,                0.00179,                0.97405,                0.99847,                 1.6414,             0.00022627,             0.00022627,             0.00022627
                     72,                0.00564,                0.97863,                0.99847,                 1.6375,              0.0002192,              0.0002192,              0.0002192
                     73,                0.00304,                0.97863,                0.99847,                 1.6379,             0.00021213,             0.00021213,             0.00021213
                     74,                0.00183,                 0.9771,                0.99847,                 1.6392,             0.00020506,             0.00020506,             0.00020506
                     75,                0.00284,                 0.9771,                0.99847,                 1.6541,             0.00019799,             0.00019799,             0.00019799
                     76,                0.00439,                0.96794,                0.99847,                 1.6472,             0.00019092,             0.00019092,             0.00019092
                     77,                0.00218,                0.96947,                0.99847,                 1.6453,             0.00018385,             0.00018385,             0.00018385
                     78,                0.00225,                0.97099,                0.99847,                  1.645,             0.00017679,             0.00017679,             0.00017679
                     79,                0.00176,                0.97252,                0.99847,                 1.6721,             0.00016972,             0.00016972,             0.00016972
                     80,                0.00314,                0.97252,                0.99847,                 1.6428,             0.00016265,             0.00016265,             0.00016265
                     81,                0.00215,                0.97252,                      1,                 1.6562,             0.00015558,             0.00015558,             0.00015558
                     82,                 0.0031,                0.97405,                      1,                 1.6504,             0.00014851,             0.00014851,             0.00014851
                     83,                0.00148,                0.97252,                      1,                  1.688,             0.00014144,             0.00014144,             0.00014144
                     84,                0.00474,                0.97557,                      1,                 1.6421,             0.00013437,             0.00013437,             0.00013437
                     85,                0.00198,                0.97557,                0.99847,                 1.6414,             0.00012731,             0.00012731,             0.00012731
                     86,                0.00429,                 0.9771,                0.99847,                 1.6733,             0.00012024,             0.00012024,             0.00012024
                     87,                0.00447,                0.97252,                0.99847,                 1.6416,             0.00011317,             0.00011317,             0.00011317
                     88,                0.00311,                0.97252,                      1,                 1.6433,              0.0001061,              0.0001061,              0.0001061
                     89,                0.00305,                0.97557,                      1,                 1.6494,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.00499,                0.97405,                      1,                 1.6419,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.00226,                0.96336,                      1,                 1.6531,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.00257,                0.96336,                      1,                  1.648,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.00114,                0.96489,                      1,                 1.6462,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.00111,                0.96489,                      1,                 1.6453,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.00291,                0.96489,                      1,                 1.6455,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.00122,                0.96336,                      1,                 1.6467,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.00185,                0.96183,                      1,                 1.6697,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.00177,                0.96489,                      1,                 1.6448,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.00186,                0.96794,                      1,                 1.6445,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.00275,                0.96794,                      1,                 1.6445,             2.1277e-05,             2.1277e-05,             2.1277e-05
