                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.57218,                0.40411,                0.83048,                 0.9644,                0.97012,                0.98724,                0.91125,                 0.5015,                0.38036,                0.76717,             0.00082925,             0.00082925,             0.00082925
                     37,                0.57793,                0.40593,                 0.8307,                 0.9605,                0.95903,                0.98003,                0.90109,                0.49236,                0.38506,                0.76871,             0.00081688,             0.00081688,             0.00081688
                     38,                0.57832,                0.40319,                0.83342,                0.91096,                0.93593,                0.96872,                0.89117,                 0.5278,                0.44686,                0.76698,              0.0008045,              0.0008045,              0.0008045
                     39,                0.56159,                0.40083,                 0.8286,                0.90824,                0.93763,                0.97507,                0.89043,                0.52497,                 0.4899,                0.76957,             0.00079213,             0.00079213,             0.00079213
                     40,                0.55965,                0.38935,                0.83024,                0.96477,                0.96869,                0.98629,                 0.9191,                0.48389,                0.35312,                0.76087,             0.00077975,             0.00077975,             0.00077975
                     41,                0.55977,                 0.3911,                0.82783,                0.96752,                0.97521,                 0.9895,                0.91518,                0.51232,                0.36616,                0.76226,             0.00076738,             0.00076738,             0.00076738
                     42,                0.55817,                0.38855,                 0.8259,                0.96761,                0.97547,                0.98907,                0.92697,                0.47789,                0.35124,                0.76011,               0.000755,               0.000755,               0.000755
                     43,                0.54399,                0.38897,                  0.826,                0.97428,                0.97499,                0.98799,                0.92413,                0.47299,                0.34744,                0.76145,             0.00074263,             0.00074263,             0.00074263
                     44,                0.54616,                0.37745,                0.82312,                0.96876,                 0.9737,                0.98988,                0.92607,                0.48252,                0.35293,                0.76082,             0.00073025,             0.00073025,             0.00073025
                     45,                0.54396,                0.37372,                0.82084,                0.95738,                0.95742,                0.98157,                 0.9133,                0.49352,                0.37848,                0.76346,             0.00071788,             0.00071788,             0.00071788
                     46,                0.54419,                0.37978,                0.82759,                0.95366,                0.95451,                0.98737,                0.92438,                0.47981,                0.38056,                0.76454,              0.0007055,              0.0007055,              0.0007055
                     47,                0.54461,                0.37546,                0.82615,                0.97153,                0.97575,                0.98953,                0.92697,                 0.4554,                0.33347,                0.75982,             0.00069313,             0.00069313,             0.00069313
                     48,                0.53651,                0.36605,                0.82481,                0.95727,                 0.9563,                0.98635,                0.91853,                0.47351,                0.36359,                0.76043,             0.00068075,             0.00068075,             0.00068075
                     49,                0.52514,                0.36996,                0.81983,                0.95792,                0.96421,                0.98835,                0.92475,                0.46878,                0.36294,                0.75978,             0.00066838,             0.00066838,             0.00066838
                     50,                0.53449,                0.36069,                0.82146,                0.96565,                0.96725,                0.98536,                0.91773,                0.45215,                0.34509,                0.75823,               0.000656,               0.000656,               0.000656
                     51,                0.53042,                0.36381,                0.82346,                0.97392,                 0.9731,                0.98798,                0.92964,                0.45305,                0.32828,                0.75729,             0.00064362,             0.00064362,             0.00064362
                     52,                0.53076,                0.36376,                0.82165,                 0.9803,                0.97548,                0.98976,                0.92954,                 0.4606,                 0.3284,                0.75778,             0.00063125,             0.00063125,             0.00063125
                     53,                 0.5214,                0.36164,                0.81893,                 0.9698,                0.97351,                0.99121,                 0.9373,                0.44859,                0.33001,                 0.7584,             0.00061887,             0.00061887,             0.00061887
                     54,                 0.5281,                0.35728,                0.82409,                 0.9656,                0.97002,                0.98793,                0.92383,                0.46866,                0.34207,                0.75758,              0.0006065,              0.0006065,              0.0006065
                     55,                0.51584,                0.35395,                0.81728,                0.97184,                0.97635,                0.98949,                0.93139,                0.44329,                0.31763,                 0.7556,             0.00059413,             0.00059413,             0.00059413
                     56,                0.52436,                0.35025,                0.82293,                0.96947,                0.97178,                 0.9911,                0.92755,                0.46396,                0.34196,                 0.7601,             0.00058175,             0.00058175,             0.00058175
                     57,                0.51185,                0.34936,                 0.8221,                0.95917,                 0.9667,                0.98906,                0.92342,                0.48921,                0.36836,                0.76018,             0.00056938,             0.00056938,             0.00056938
                     58,                0.50848,                0.34795,                0.82126,                 0.9688,                0.97862,                0.98738,                0.93565,                0.43848,                0.34772,                0.75494,               0.000557,               0.000557,               0.000557
                     59,                0.50231,                0.34095,                0.81849,                0.95254,                0.96255,                0.98833,                0.93144,                0.43886,                0.35899,                0.75411,             0.00054463,             0.00054463,             0.00054463
                     60,                0.50712,                0.34288,                0.81977,                0.96405,                0.96296,                0.98769,                   0.93,                0.47898,                0.34824,                0.75913,             0.00053225,             0.00053225,             0.00053225
                     61,                0.48873,                 0.3431,                0.81595,                0.97671,                0.98071,                0.99202,                0.93585,                0.42272,                0.31265,                0.75406,             0.00051988,             0.00051988,             0.00051988
                     62,                0.50844,                0.33675,                0.81637,                 0.9688,                0.97424,                0.99133,                0.93083,                 0.4667,                0.33403,                0.75799,              0.0005075,              0.0005075,              0.0005075
                     63,                 0.4929,                0.32948,                0.81654,                0.97068,                0.97746,                0.99011,                0.93874,                0.42113,                0.31177,                 0.7501,             0.00049513,             0.00049513,             0.00049513
                     64,                0.50407,                0.34119,                0.81865,                0.97344,                0.97534,                0.99106,                0.93529,                0.44614,                0.31754,                0.75545,             0.00048275,             0.00048275,             0.00048275
                     65,                 0.4923,                0.32823,                0.81673,                0.97207,                0.97819,                0.98988,                0.93568,                0.43046,                0.33064,                0.75477,             0.00047038,             0.00047038,             0.00047038
                     66,                0.49317,                0.32482,                0.81365,                0.96754,                0.97221,                0.98938,                0.92902,                0.45318,                0.32884,                 0.7546,               0.000458,               0.000458,               0.000458
                     67,                0.49056,                0.32359,                0.81409,                0.97516,                0.97419,                0.99129,                0.94122,                0.41822,                 0.3102,                0.75165,             0.00044563,             0.00044563,             0.00044563
                     68,                 0.4882,                0.32467,                0.81576,                0.97243,                0.97485,                0.99192,                 0.9405,                  0.435,                 0.3274,                0.75375,             0.00043325,             0.00043325,             0.00043325
                     69,                0.47634,                0.32456,                0.81234,                0.98017,                0.97321,                0.99039,                0.93917,                0.42299,                0.30851,                0.75195,             0.00042087,             0.00042087,             0.00042087
                     70,                0.48413,                0.32315,                 0.8135,                0.97925,                0.97914,                0.99229,                0.93738,                0.42228,                0.29611,                0.75129,              0.0004085,              0.0004085,              0.0004085
                     71,                0.46509,                0.31853,                0.81157,                0.97768,                 0.9758,                0.99098,                0.93992,                0.41885,                0.30226,                0.75195,             0.00039613,             0.00039613,             0.00039613
                     72,                0.46928,                0.31249,                0.80894,                0.96955,                0.97723,                0.99149,                0.94085,                0.41645,                0.30745,                0.75146,             0.00038375,             0.00038375,             0.00038375
                     73,                0.47952,                0.31239,                0.81204,                0.97737,                0.97561,                0.99012,                0.94181,                0.41435,                0.29893,                0.74941,             0.00037138,             0.00037138,             0.00037138
                     74,                0.46763,                0.31033,                0.80949,                 0.9512,                0.96892,                0.98285,                0.93666,                0.41385,                0.31916,                0.75102,               0.000359,               0.000359,               0.000359
                     75,                0.46702,                0.30835,                0.81342,                0.97716,                 0.9784,                0.99177,                0.94566,                0.41657,                0.29911,                0.75086,             0.00034663,             0.00034663,             0.00034663
                     76,                0.46754,                0.30829,                0.81163,                0.97383,                 0.9746,                0.99074,                0.94504,                0.39982,                0.29882,                0.74812,             0.00033425,             0.00033425,             0.00033425
                     77,                0.45529,                0.30055,                0.81281,                 0.9815,                0.96696,                0.98831,                 0.9423,                0.40643,                0.29309,                0.74974,             0.00032188,             0.00032188,             0.00032188
                     78,                0.45976,                0.30014,                0.81274,                0.94942,                0.97641,                0.98737,                0.94429,                0.41134,                0.31768,                0.75042,              0.0003095,              0.0003095,              0.0003095
                     79,                0.46328,                0.30305,                0.81174,                0.98096,                  0.973,                0.98932,                  0.941,                0.42407,                0.29571,                0.75023,             0.00029713,             0.00029713,             0.00029713
                     80,                0.44998,                0.29776,                 0.8086,                0.96204,                  0.963,                 0.9864,                0.93427,                0.44104,                0.30974,                0.75041,             0.00028475,             0.00028475,             0.00028475
                     81,                0.44839,                0.29846,                0.80916,                0.97934,                0.97635,                0.98921,                0.94487,                0.40311,                0.29051,                0.75035,             0.00027237,             0.00027237,             0.00027237
                     82,                0.44724,                0.29474,                0.81151,                0.97624,                0.97676,                 0.9901,                0.94804,                0.40033,                 0.2866,                0.74873,                0.00026,                0.00026,                0.00026
                     83,                0.45128,                0.29569,                0.80826,                  0.978,                0.97751,                 0.9906,                 0.9455,                0.39631,                0.28586,                0.74793,             0.00024762,             0.00024762,             0.00024762
                     84,                 0.4359,                0.28323,                0.80595,                0.97902,                0.97854,                0.99012,                0.94676,                0.40577,                0.29032,                 0.7484,             0.00023525,             0.00023525,             0.00023525
                     85,                0.44013,                0.28316,                0.80511,                0.97212,                0.97395,                0.98763,                0.94566,                0.39368,                0.31065,                0.74768,             0.00022288,             0.00022288,             0.00022288
                     86,                0.43551,                0.28455,                0.80785,                0.97015,                0.97631,                0.98904,                0.94778,                0.41957,                0.30174,                0.75021,              0.0002105,              0.0002105,              0.0002105
                     87,                0.43309,                0.28183,                0.80832,                0.98013,                0.97802,                0.99081,                0.95154,                0.39363,                0.28549,                0.74855,             0.00019813,             0.00019813,             0.00019813
                     88,                0.42697,                0.27931,                0.80586,                0.98491,                0.97749,                0.99021,                0.94972,                0.39431,                0.28403,                0.74903,             0.00018575,             0.00018575,             0.00018575
                     89,                0.42679,                0.28096,                0.80473,                0.98365,                0.97791,                 0.9871,                0.94784,                0.39655,                0.28036,                0.74825,             0.00017338,             0.00017338,             0.00017338
                     90,                 0.4224,                0.27657,                0.80356,                0.97349,                0.97807,                0.98473,                0.94712,                0.37956,                0.29421,                0.74665,               0.000161,               0.000161,               0.000161
                     91,                0.43667,                0.27792,                 0.8147,                0.97183,                 0.9801,                0.98719,                0.94719,                0.40545,                0.30614,                0.75096,             0.00014862,             0.00014862,             0.00014862
                     92,                0.42732,                0.27407,                0.81063,                0.96904,                0.97418,                0.98489,                 0.9473,                0.39293,                0.30353,                0.74964,             0.00013625,             0.00013625,             0.00013625
                     93,                0.42885,                0.27659,                0.81327,                0.97396,                  0.974,                0.98633,                0.95069,                0.38828,                0.28737,                0.74921,             0.00012387,             0.00012387,             0.00012387
                     94,                0.41744,                0.27168,                0.81183,                0.97638,                0.97897,                0.98912,                0.95395,                0.37823,                 0.2788,                0.74748,              0.0001115,              0.0001115,              0.0001115
                     95,                0.41182,                0.26445,                0.81074,                0.97895,                 0.9779,                0.99048,                0.95484,                0.37829,                0.27752,                0.74725,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.41199,                0.25933,                0.80829,                0.97404,                0.97981,                0.99002,                0.95475,                0.37811,                0.28424,                0.74752,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.41112,                0.26364,                0.80688,                 0.9725,                 0.9739,                0.98974,                0.95634,                0.37352,                0.28875,                 0.7467,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.39731,                0.25509,                0.80994,                 0.9646,                 0.9824,                0.99078,                0.95485,                0.37543,                0.28998,                0.74663,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.39193,                0.25121,                0.80655,                0.97474,                 0.9781,                0.98964,                0.95603,                 0.3695,                0.28819,                0.74631,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.38979,                  0.251,                0.80234,                0.97321,                0.97894,                0.99018,                0.95588,                0.36787,                0.28314,                0.74596,              3.725e-05,              3.725e-05,              3.725e-05
